id,name
372,Schotten Totten
373,Wrott & Swindlers
374,Colorado County
375,6 Billion
376,DruidenWalzer
377,Neighbors
378,Lancashire Railways
379,Express
380,Polarity
381,X Pasch
382,Heimlich & Co.
383,Turf Horse Racing
384,TurfMaster
386,Pirateer
387,Corruption
388,Finale
389,Die Mauer
391,Ocean
392,Brawl
393,Dinosaurs of the Lost World
394,Kahuna
396,Der dreizehnte Holzwurm
397,Diskwars
398,Wildlife Safari
399,Tom Clancy's Politika
400,Shanghai
401,Gold Connection
403,Elk Fest
404,Worm Up!
406,Weer en wind
408,Zoon
409,Dschungel
410,D'r Af
412,Yukon Company
413,Die Erben von Hoax
414,Around the World in 80 Days
415,Espresso
416,A to Z
417,Edison & Co.
420,Rail Baron
421,1830: Railways & Robber Barons
422,1835
423,1856
424,1870
425,Thunder's Edge
426,Battle of the Bulge
427,Grass
428,Galopp Royal
429,Magalon
430,Asterix: Das Kartenspiel
431,Alhambra: The Card Game
432,6 nimmt!
433,Shark
434,Yucata'
436,Canyon
437,Master Labyrinth
438,Scotland Yard
440,Zoff in Buffalo
441,Filthy Rich
442,Um Reifenbreite
443,Code 777
444,Midnight Party
445,Die Osterinsel
446,Avalanche
449,The Great Balloon Race
450,Octi
451,Beutelschneider
452,Mummy Rummy
454,Tante Tarantel
455,Am Fuß des Kilimandscharo
457,Jumbo Grand Prix
458,Sherlock Holmes: The Card Game
459,Ausgebremst
460,Railway Rivals
461,Freibeuter
462,Esels-Rennen
463,Magic: The Gathering
464,Billabong
465,Zankapfel
466,Inkognito
468,Dump
469,In Teufels Küche
470,Road to the White House
471,Totem
472,DungeonQuest
473,Olé!
474,Cold War
475,Taj Mahal
476,Mr. President
477,The Broadway Game
478,Citadels
479,Bambuti
480,Age of Arguments
481,Carolus Magnus
482,Sky Runner
483,Diplomacy
484,Stratego Legends
485,Galloping Pigs
486,Barnyard Buddies
487,Power
488,Stake Your Claim
489,Pacal
490,Warangel
491,Web of Power
492,Aladdin's Dragons
494,Ave Caesar
495,Time Pirates
496,Dilemma
497,Vampire
498,Sufferin' Spirits
499,Arbos
500,MARK
501,Dschungelrennen
502,Bretonenboule
503,Through the Desert
504,Die Verbotene Stadt
505,Goldener Drache
506,The Big Cheese
507,Cartel
508,Blue Max
509,The Reef
510,Eschnapur
511,Silverton
512,Holiday!
513,WarChest
514,True Colors
515,6-Tage Rennen
517,Shark Bait
518,Cat vs. Mouse
519,Mush
520,Axis & Allies: Europe
521,Crokinole
524,Desperados
525,Pisa
526,Abalone
527,GIPF
528,ZÈRTZ
529,Charlemagne
530,Entenrallye
531,Merchants of Amsterdam
533,Labyrinth: The Card Game
534,N.Y. Chase
535,Power Barons
536,Visionary
537,Ice Blocks
538,Manager
539,Dampfross
540,Sisimizi
541,Das Motorsportspiel
542,Democrazy
545,Kaleidos
547,Flohzirkus
548,Buck Rogers: Battle for the 25th Century Game
549,Aerodrome
