1,Game,Category,Players,Difficulty (1-5),Avg. Play Time,Age
88,Carcassone: Inns and Cathedrals,Expansion for Carcassone,2 to 6,2,60 minutes,8+
89,Carcassonne,Strategy,2 to 5,3,30-90 minutes,8+
90,Carcassonne: The Discovery,Tile Placement,2 to 5,2,30 minutes,8+
91,Cardline - Animals,Trivia,2 to 8,1,15-20 minutes,8+
92,Cards Against Humanity,Party/Adult,4 to 30,1,30 minutes,18+
93,Cards Against Humanity: ALL 26 Expansions,Party/Adult,4 to 30,1,30 minutes,18+
94,Cartagena,Family/Racing,2 to 5,1.5,45 minutes,8+
95,CaSh n' GunS: 2nd Edition,Party/Bluffing,4 to 6,1.5,30 minutes,10+
96,Castle Panic,Co-Op/Tower Defense,1 to 6,2,30 minutes,10+
97,Castle: The Detective Card Game,Murder/Mystery,2 to 5,1,25 minutes,15+
98,Castles of Burgundy,Strategy,2 to 4,3,30-90 minutes,12+
99,Castles of Mad King Ludwig,Card Drafting,1 to 4,2.5,90 minutes,13+
100,Cat Tower,Stacking,2 to 6,1,15 minutes,4+
101,Cat-opololy,Classic/Thematic,2 to 6,1.5,60 minutes,9+
102,Catan 5-6 players Extension,Expansion to Catan,5 to 6,2.5,120 minutes,10+
103,Catan Settlers of America Trails to Rails,Route Building,3 to 4,2.5,120 minutes,12+
104,Catan Struggle for Rome,Area Movement,3 to 4,2.5,120 minutes,10+
105,Catan: 5th Edition,Strategy,3 to 4,2.5,60-120 minutes,10+
106,Catan: Game of Thrones,Strategy/Family,3 to 4,2.5,60-120 minutes,10+
107,Catch Phrase,Party,4 to 16,1,30 minutes,12+
108,Catch the Moon,Action/Dexterity,2 to 6,1,20 minutes,6+
109,CDMC 3K,Party/Hand Management,2 to 4,1,30 minutes,6+
110,Celestia,Press Your Luck,2 to 6,1.5,30 minutes,8+
111,Century: Spice Road,Card Drafting,2 to 5,2,30-45 minutes,8+
112,Chameleon,Party,3 to 8,1,5 minutes,14+
113,Champions of Midgard,Strategy,2 to 4,2.5,60-90 minutes,10+
114,Checkers,Classic,2,2,30 minutes,6+
115,Cheers Trivia,Trivia,2 to 8,1,60 minutes,12+
116,Chess,Strategy,2,4,60 minutes,6+
117,Chess (3-player chess),Classic,3,3,60 minutes,8+
118,Chinese Checkers,Classic,2 to 6,1.5,30 minutes,7+
119,Chutes & Ladders,Childrens,2 to 4,1,20 minutes,6+
120,Citadels,Strategy/City Building,2 to 8,2,20-60 minutes,10+
121,Clank! A Deck Building Adventure,Deck Building,1 to 4,2,30-60 minutes,12+
122,Clank! In Space,Card Drafting,2 to 4,2.5,60 minutes,13+
123,Click Clack Lumberjack,Abstract/Party,2 to 7,1.5,10 minutes,5+
124,Clue,Bluffing/Deduction,3 to 6,1,45 minutes,8+
125,Clue Jr.,Children's/Deduction,3 to 6,1,45 minutes,6+
126,Cobra Paw,Party/Dexterity,2 to 6,1,5-15 minutes,6+
127,Coconuts,Action/Dexterity,2 to 4,1,20 minutes,6+
128,Coconuts Duet,Action/Dexterity,2,1,20 minutes,6+
129,Codenames,Party/Deduction,2 to 8,1.5,15 minutes,14+
130,Codenames Pictures,Party/Deduction,2 to 8,1.5,15 minutes,14+
131,Codenames Marvel,Party/Deduction,3 to 8,1.5,16 minutes,14+
132,Codenames Disney,Party/Deduction,4 to 8,1.5,17 minutes,14+
133,Colonial: Europe's Empires Overseas,Area Control,2 to 6,3.5,120 minutes,14+
134,Coloretto,Card Drafting,2 to 5,1.5,30 minutes,8+
135,Colt Express,Hand Management,2 to 6,2,30-40 minutes,10+
136,Concept,Party,4 to 12,1.5,40 minutes,10+
137,Concordia,Strategy/Card Drafting,2 to 5,3,100 minutes,13+
138,Connect 4,Classic,2,1,15 minutes,6+
139,Conquest of Pangaea,Strategy,2 to 4,2.5,90 minutes,12+
140,Cooperation: The Wealth of Nations,Educational,2 to 6,1,30 minutes,8+
141,Cosmic Encounter,Thematic/Strategy,3 to 5,2.5,60-120 minutes,12+
142,Costa Rica,Press Your Luck,2 to 5,1.5,30-45 minutes,8+
143,Cottage Garden,Tile Placement,1 to 4,2,45-60 minutes,8+
144,Coup,Party/Bluffing/Memory,2 to 6,1.5,15 minutes,9+
145,Coup: Rebellion G4,Party Strategy,3 to 6,2,15 minutes,14+
146,Covalence,Deduction,2 to 4,1.5,15-40 minutes,8+
147,Crab Stack,Strategy,2 to 4,1.5,20 minutes,8+
148,Cranium,Party/Trivia/Word,4 to 16 (Best 8),1.5,60 minutes,13+
149,Cranium Cadoo,Children/Creative,2 to 16,1,45 minutes,7+
150,Cribbage,Card,2 to 4,2,30 minutes,10+
151,Crokinole,Action/Dexterity/Flicking,2 or 4,1.5,30 minutes,8+
152,Crosstalk,Party/Deduction,4 to 8,1.5,30 minutes,10+`
153,Cry Havoc,Strategy/War Game,2 to 4,3.5,90-120 minutes,10+
154,Cup a Cup,Party/Childrents,3 to 8,1,20 minutes,5+
155,Curses!,Party/Acting,3 to 6,1,25 minutes,12+
156,Cutthroat Caverns,Hand Management,3 to 6,2,90 minutes,12+
157,Dead Man's Draw: Captain Carcass,Cards,2 to 4,1.5,10 -15 minutes,13+
158,Dead Man's Treasure (a.k.a. Fruit Spy),Bluffing/Area Control,3 to 5,1.5,15-20 minutes,8+
159,Dead of Winter,Horror/Zombies,2 to 5,3,60-120 minutes,13+
160,Dead Panic,Co-op,2 to 6,2,90 minutes,13+
161,Dealer's Choice,Auction/Bidding,3 to 5,1.5,45 minutes,8+
162,Deception: Murder in Hong Kong,Bluffing/Party,4 to 12,1.5,20 minutes,14+
163,Deck Building: The Deck Building Game,Cards,2,1.5,10-20 minutes,13+
164,Descent: Journey's in the Dark: 1st Edition,Thematic,2 to 5,3.5,240 minutes,12+
165,Descent: Journeys in the Dark: 2nd Edition,Thematic,2 to 5,3,120 minutes,14+
166,Dice Masters: Age of Ultron,Dice Rolling,2,2.5,60 minutes,14+
167,Dice Masters: Avengers vs. X-Men,Dice Rolling,2,2.5,60 minutes,14+
168,Dice Masters: Uncanny X-Men,Dice Rolling,2,2.5,60 minutes,14+
169,Dictitious,Party,4 to 12,1,30 minutes,17+
170,Dinosaur Tea Party,Deduction/Humor,3 to 5,1,20-30 minutes,7+
171,Dixit,Party/Cards/Humor,3 to 6,1.5,30 minutes,6+
172,Domaine,Area Control,2 to 4,2.5,60 minutes,12+
173,Dominion,Card/Strategy,2 to 4,2.5,30 minutes,13+
174,Dominoes,Strategy,1+,1,-,-
175,Down Force,Auction/Bidding,2 to 6,2,20-40 minutes,10+
176,Drachen Turm,Dice Rolling,2 to 4,1,30 minutes,8+
177,Dracula's Feast,Bluffing/Deduction,4 to 8,1.5,10-15 minutes,10+
178,Dracula's Feast: Cthulhu & Friends,Expansion to Dracula's Feast,40 to 10,1.5,10-15 minutes,10+
179,Dread Pirate,Roll and Spin,2 to 4,1.5,60 minutes,8+
180,Dream Phone,Children,1 to 4,2.5,20 minutes,9+
181,Elasund: The First City,Strategy,2 to 4,2.5,60-90 minutes,10+
182,Elder Sign,Thematic,1 to 8,2.5,90 minutes,13+
183,Elder Sign: Unseen Forces,Thematic/Adventure,1 to 8,2.5,90 minutes,14+
184,Eldritch Horror,Fantasy/Adventure,1 to 8,3.5,120-240 minutes,14+
185,Electronic Battleship,Strategy,2,1,30 minutes,10+
186,Elixir,Auction/Bidding,3 to 8,1.5,60 minutes,10+
187,Encounters: Shadowrun,Dice/Science Fiction,1 to 8,2,15-30 minutes,13+
188,End is Nigh,Bluffing/Deduction,2 to 6,2,15-20 minutes,13+
189,Ender's Game: Battle School,Dice Rolling,2,2.5,30-45 minues,15+
190,Escape the Room: Mystery at Stargazer's Manor,Party/Co-op,3 to 8,1.5,90 minutes,10+
191,Ethnos,Strategy,2 to 6,2,30-45 minutes,14+
192,Euphoria: Build a Better Dystopia,Dice Rolling/Set Collection,2 to 6,3,60 minutes,13+
193,Evolution,Strategy/Animals,2 to 6,2.5,50-70 minutes,10+
194,Expedition: Famous Explorers,Strategy,2 to 6,2,60-90 minutes,13+
195,Exploding Kittens,Party/Cards,2 to 5,1,15 minutes,7+
196,Exploding Kittens: NSFW Deck,Party/Cards,2 to 5,1,15 minutes,18+
197,Fact or Crap,Trivia,3 to 8,1,30 minutes,12+
198,Fairy Tale,Card Drafting,2 to 6,2,30 minutes,10+
199,Fallout,Stategy/Adventure,1 to 4,3,140-180 minutes,14+
200,Farkle,Dice,2 to 8,1,30 minutes,8+
201,Feast for Odin,Area Enclosure,1 to 4,4,30-120 minutes,12+
202,Felinia,Territory Building,2 to 4,2.5,60 minutes,10+
203,Fetch,Racing,2 to 4,1,15 minutes,12+
204,Firefly,Thematic Fantasy,1 to 4,3,120-240 minutes,13+
205,Fish Frenzy,Bidding,3 to 5,1,2--30 minutes,10+
206,Fistful of Dinero,Card Drafting,3 to 6,2,30-45 minutes,10+
207,Five Tribes,Strategy,2 to 4,3,40-80 minutes,13+
208,Flapjacks and Sasquatches,Cards,2 to 8,1.5,20 minutes,8+
209,Flash Point: Fire Rescue,Thematic/Family,1 to 6,2,45 minutes,10+
210,Flip Hue,Cards,3 to 6,1.5,30 minutes,8+
211,Flipships,Co-Op/Dexterity,1 to 4,1.5,30-45 minutes,8+
212,Flock,Abstract Stategy,2 to 5,2.5,30 minutes,14+
213,Florenza: The Card Game,Strategy/City Building,2 to 4,2.5,60 Minutes,14+
214,Flow of History,Auction/Bidding,3 to 5,2.5,60-90 minutes,12+
215,Fluxx,Hand Management,2 to 6,1.5,5 to 30 minutes,8+
216,For Sale,Auction/Bidding,3 to 6,1.5,20 minutes,8+
217,Forbidden Desert,Co-op Grid Movement,2 to 5,2,45 minutes,10+
218,Forbidden Island,Co-op/Strategy,2 to 4,1.5,30 minutes,10+
219,Formula D,Dice Rolling,2 to 10,2,60 minutes,8+
220,Fortress America,Wargames,2 to 4,2.5,150 minutes,13+
221,Fossil Find,Strategy,1 to 6,1.5,45-60 minutes,13+
222,Friday,Cards/Solo,1,2,25 minutes,10+
223,Funglish,Party,3 to 12,1,25 minutes,12+
224,FUSE,Dexterity/Dice,1 to 5,2,10 minutes,10+
225,Galaxy Trucker,Tile Placement/Humor,2 to 4,2.5,60 minutes,10+
226,Game of Thrones,Card Drafting,2 to 4,3,60 minutes,14+
227,Gettysburg,Strategy,2,3,40-240 minutes,12+
228,Giants,Strategy/Bidding/Worker Placement,3 to 5,3,90 minutes,10+
229,Gloom,Storytelling/Party,2 to 4,1.5,60 minutes,13+
230,Go Bleep Yourself!,Party,4 to 10,1,40 minutes,14+
231,Go Cuckoo!,Party,2 to 6,1,10-15 minutes,4+
232,Go Fish Yourself,Party/Adult,4 to 6,1,15-45 min,18+
233,Grackles,Abstract,2 to 4,1.5,20-30 minutes,10+
234,Gravwell: Escape from the 9th Dimension,Card Drafting,1 to 4,2,20-35 minutes,12+
235,Great Western Trail,Pool Building,2 to 4,3.5,75-150 minutes,12+
236,Greedy Greedy Goblins,Tile Placement/Bluffing,2 to 4,2,25-35 minutes,14+
237,Gruff,Fantasy,2 to 4,3,20-45 minutes,11+
238,Guesstures,Party,4+,1,10 minutes,12+
239,Guillotine,Family/Card/Humor,2 to 5,1,30 minutes,12+
240,Hanabi,Family/Cards,2 to 5,1.5,25 minutes,8+
241,Hangman,Deduction/Word,2,1,15 minutes,8+
242,Happy Salmon,Party,3 to 6,1,2 minutes,6+
243,Harry Potter: Hogwart's Battle,Cards/Co-Op,2 to 4,2,30-60 minutes,11+
244,Headbanz,Party,3 to 10,1,60 minutes,8+
245,Headbanz for Adults,Party/Adult,3 to 10,1,60 minutes,8+
246,"Here, Kitty, Kitty",Animals,3 to 6,1,30 minutes,10+
247,Heroes Wanted,Grid Movement/Humor,1 to 5,2.5,45 minutes,13+
248,Heroes Wanted: Breaking News,Grid Movement/Humor,1 to 5,2.5,45 minutes,13+
249,Heroes Wanted: Champions and Masterminds,Grid Movement/Humor,1 to 5,2.5,45 minutes,13+
250,Heroes Wanted: Extra Extra,Grid Movement/Humor,1 to 5,2.5,45 minutes,13+
251,Hex Hex XL,Cards,3 to 6,2,20 minutes,14+
252,"Hey, That's my Fish",Abstract/Grid Movement,2 to 4,1.5,20 minutes,8+
253,High Noon Saloon,Area Movement,2 to 6,1.5,45 minutes,10+
254,Hive,Abstract,2,2.5,20 minutes,9+
255,Hive Pocket,Abstract,2,2.5,20 minutes,9+
256,Hocus,Cards,2 to 5,2.5,30 minutes,10+
257,Honor of the Samurai,Strategy/Cards,3 to 6,2,90 minutes,10+
258,Hotshots,Co-op/Dice Rolling,1 to 4,2,60 minutes,10+
259,How to Serve Man,Humor/Worker Placement,6-Feb,2,60 minutes,10+
260,Hungry Hungry Hippo,Children,2 to 4,1,10 minutes,4+
261,Ice Cool,Children,2 to 4,1,20 minutes,6+
262,ImagiNiff: 10th Anniversary Edition,Party/Bluffing,3 to 8,1,35 minutes,12+
263,Imhotep,Area Control,2 to 4,2,40 minutes,10+
264,Impact: Battle of Elements,Dice Rolling,2 to 5,1,15 minutes,8+
265,Imploding Kittens,Party,2 to 6,1,15 minutes,7+
266,Incan Gold,Bluffing,3 to 8,1,20 minutes,8+
267,Indigo,Abstract / Family,2 to 4,1.5,30 minutes,8+
268,Indulgence,Card Game,3 to 4,1.5,45-60 minutes,14+
269,Ingenious,Abstract,1 to 4,2,45 minutes,10+
270,Inis,Card Drafting,2 to 4,3,60-90 minutes,14+
271,Ion: A Compound Building Game,Deduction,2 to 7,1.5,20-40 minutes,8+
272,Island Fortress,Auction/Bidding,2 to 4,3,90 minutes,13+
273,Isle of Skye: From Chieftain to King,Territory Building/Tile Placement,2 to 5,2.5,30-50 minutes,8+
274,Islebound,Area Control,2 to 4,3,60-120 minutes,13+
275,Jack Straws,Children/Dexterity,2 to 5,1,10 minutes,6+
276,Jack the Ripper,Deduction,2,2.5,120 minutes,12+
277,Jaipur,Card Drafting,2,1.5,30 minutes,12+
278,Jenga,Classic/Party,1 to 8,1,20 minutes,6+
279,Jim Henson's Labyrinth: The Board Game,Area Movement//Co-op,1 to 5,1.5,60-120 minutes,6+
280,Jokers and Marbles,Classic,2 to 6,1.5,30-60 minutes,8+
281,Joking Hazard,Party Adult,3 to 10,1,30-90 minutes,18+
282,Jumanji,Family,2 to 4,1.5,45 minutes,8+
283,Jump Drive,Hand Management,2 to 4,2,20 minutes,13+
284,Jungle Speed,Dexterity/Party,2 to 10,1,15 minutes,8+
285,Junk Art,Hand Management,2 to 6,1.5,30 minutes,8+
286,Kanagawa,Card Drafting,2 to 4,2,45 minutes,10+
287,Karuba,Tile Placement,2 to 4,1.5,40 minutes,8+
288,Kemet,Area Control,2 to 5,3,90-120 minutes,13+
289,Kerala: The Way of the Elephant,Tile Placement,2 to 5,2,30 minutes,8+
290,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
291,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
292,King Kong,"Roll, Spin, Move",2 to 4,1,30 minutes,5+
293,King of Tokyo,Dice/Family,2 to 6,1.5,30 minutes,8+
294,Kingdomino,City Building,2 to 4,1.5,15-20 minutes,8+
295,Kingsburg,City Building,2 to 5,2.5,90 minutes,13+
296,Kittens in a Blender,Party,2 to 4,1,30 minutes,8+
297,Kitty Paw,Dexterity/Abstract,1 to 4,1,15 minutes,6+
298,Kodama: The Tree Spirits,Abstract Strategy,2 to 5,1.5,40 minutes,14+
299,Konane,Strategy/Checkers,2,2,20 minutes,6+
300,Konexi,Action,2 to 4,1.5,20 minutes,10+
301,Labyrinth: The Electronic Version,Classic/Tile Placement,2 to 4,1.5,20 minutes,8+
302,Lanterns: Harvest Festival,Tile Placement,2 to 4,1.5,30 minutes,8+
303,Last Night on Earth,Fighting/Horror,2 to 6,2.5,90 minutes,12+
304,Lazer Ryderz,Maze/Racing,2 to 4,1.5,30-60 minutes,12+
305,Leaders of Euphoria: Choose a Better Oppressor,Bluffing/Card Game,4 to 8,2,15-30 minutes,13+
306,Left Center Right,Party,3 to 12,1,20 minutes,5+
307,Legendary Encounters: Aliens,Card Drafting,1 to 5,2.5,45 minutes,17+
308,Legendary Fear Itself - Expansion to Legendary,Expansion,1 to 5,3,45 minutes,8+
309,Legendary: Buffy The Vampire Slayer,Card Drafting,1 to 5,3,30-60 minutes,14+
310,Legenday: A Marvel Deck Building Game,Thematic,1 to 5,2.5,45 minutes,14+
311,Leonardo da Vinci,Area Control,2 to 5,3,90 minutes,12+
312,Letters from Whitechapel,Thematic/Strategy,2 to 6,2.5,120 minutes,13+
313,Liar's Dice,Bluffing,2 to 6,1.5,15-30 minutes,8+
314,Libertalia,Hand Management,2 to 6,2,45 minutes,14+
315,Life (The Game of Life),Classic,2 to 6,1,60 minutes,8+
316,Life on the Farm,Children/Chance,2 to 6,1,120 minutes,8+
317,Livestock Uprising,Territory Building,2 to 4,2.5,90 minutes,14+
318,Loaded Questions,Party,3 to 6,1.5,45 minutes,13+
319,Locke & Key,Strategy,3 to 6,1.5,30 minutes,15+
320,Lord of the Rings: The Card Game,Thematic/Card,1 to 4,3,60 minutes,13+
321,Lords of Vegas,City Building,2 to 4,2.5,60 minutes,12+
322,Lords of Waterdeep,Strategy/City Building,2 to 5,2.5,60-120 minutes,12+
323,Lost Cities,Set Collection,2 to 4,2,30-60 minutes,8+
324,Lost Temple,Adventure,2 to 8,1.5,40 minutes,10+
325,Lotus,Cards/Area Control,2 to 4,1.5,30 minutes,8+
326,Love Letter,Family/Bluffing,2 to 4,1,20 minutes,10+
327,Love Letter: Legend of the Five Rings,Family/Bluffing,2 to 4,1,20 minutes,10+
328,Love Letter: Premium Edition,Deduction,2 to 8,1.5,20 minutes,14+
