1,Game,Category,Players,Difficulty (1-5),Avg. Play Time,Age
383,Pandemic,Co-Op/Strategy,2 to 4,3,60 minutes,13+
384,Pandemic on the Brink: Expansion for Pandemic,Co-op/Strategy,2 to 5,2.5,45 minutes,8+
385,Pandemic: Iberia,Cooperative,2 to 5,2.5,45 minutes,8+
386,Pandemic: Reign of Cthulhu,Cooperative,2 to 4,2,40 minutes,14+
387,Parade,Cards/Set Collection,2 to 6,1.5,20-30 minutes,12+
388,Parcheesi,Family,2 to 6,1,30 min,5+
389,Pass the Buck,Bluffing,3 to 5,1,30 - 45 minutes,14+
390,Passing the Bar,Lawyers,2 to 4,5,60 minutes,21+
391,Patchwork,Strategy,2,2,15-30 minutes,8+
392,Peaceful Resistance,Abstract Strategy,2 to 3,1.5,30 minutes,7+
393,Pentago,Abstract Strategy,2,2,3 to 30 minutes,6+
394,Peptide,Educational/Card Drafting,2 to 6,2,40 minutes,10+
395,Perfection,Children/Memory,No limit,1,6 minutes,5+
396,Perquackey,Dice/Word,2 to 6,2,20 minutes,8+
397,Phase 10,Cards,2 to 6,1.5,45 minutes,8+
398,Photosynthesis,Abstract Strategy,2 to 4,2.5,30-60 minutes,10+
399,Pictionary,Classic/Party,3 to 16,1.5,90 minutes,12+
400,Pin the Tail on the Donkey,Children,2 to 20,1,15 minutes,6+
401,Pirateology,Dice,2 to 6,1.5,45 min,8+
402,Pit,Party/Cards,3 to 8,1,30-90 minutes,7+
403,Pixel Tactics,Hand Management,2,2.5,45 minutes,12+
404,Playing Cards (52 Card Decks),Cards,1 to 20,1,45 minutes,3+
405,Poker Set,Chance,4 to 8,3,2 hours,8+
406,Portobello Market,Strategy/Area Control,2 to 4,2,35 minutes,8+
407,Potion Explosion,Pattern Regonition,2 to 4,1.5,30-60 minutes,8+
408,Power Grid,Strategy/Auction,2 to 6,3.5,120 minutes,12+
409,Pretty Pretty Princess,Classic,2 to 4,1,20 minutes,5+
410,Private Die,Dice Rolling,2 to 6,1.5,15 minutes,10+
411,Prosperity,Card Drafting/Tile Placement,2 to 4,2.5,60 minutes,13+
412,Puerto Rico,City Building,2 to 5,3.5,90-150 minutes,12+
413,Punch Line,Word,2 to 4,2,30 minutes,10+
414,Purrlock Holmes,Cards,2 to 5,1.5,20-30 minutes,10+
415,Push,Cards/Push Your Luck,2 to 6,1,20 minutes,8+
416,Pyramix,Abstract,2 to 4,1.5,15 minutes,8+
417,Quests of Valeria,Card Drafting,1 to 5,2,20-45 minutes,14+
418,Quoridor,Abstract Straegy,2 or 4,2,15 minutes,8+
419,Quarto,Abstract Strategy,2,2,20 minutes,6+
420,Quixo,Abstract Strategy,2,2,20 minutes,6+
421,Qwirkle,Abstract,2 to 4,1.5,45 minutes,6+
422,Qwixx Deluxe,Dice,2 to 5,1,15 minutes,8+
423,Race for the Galaxy,Strategy,2 to 4,3,30-60 minutes,12+
424,Railroad Tycoon (a.k.a. Railways of the World),Card Drafting,2 to 6,3,120 minutes,10+
425,Ravensburger Labyrinth,Children's/Maze/Puzzle,2 to 4,1.5,20 minutes,8+
426,Red Dragon Inn,Party/Humor,2 to 4,1.5,45 minutes,13+
427,Red7,Cards/Set Collection,2 to 4,1.5,5-30 minutes,9+
428,Redshirts,Humor,2 to 7,1.5,30 minutes,12+
429,Reef,Abstrac Strategy,2 to 4,2,30-45 minutes,8+
430,Reminiscing,Trivia,2 to 4,1,45 minutes,1+
431,Remnants,Dice Rolling/Hand Management,2 to 4,2.5,45-60 minutes,13+
432,Resistor,Abstract/Card/Memory,2,2,20 minutes,8+
433,Rhino Hero,Dexterity,2 to 5,1,5-15 minutes,5+
434,Rhino Hero: Super Battle,Dexterity,3 to 5,1,15-20 minutes,5+
435,Rick and Morty Total Recall Card Game,Deduction,2 to 5,1.5,30 minutes,15+
436,Rick and Morty: Anatomy Park,City Building,2 to 4,2,30-60 minutes,18+
437,Risk,Wargame,2 to 6,2,120 minutes,10+
438,Risk: Godstorm,Wargame,2 to 5,2.5,120 minutes,10+
439,Risk: Lord of the Rings Trilogy Edition,Wargame,2 to 4,2.5,180 minutes,9+
440,Risk: Star Wars Clone Wars Edition,Wargame,2 to 4,2,120 minutes,10+
441,Road Kill Rally,Dice Rolling,3 to 6,2,60-120 minutes,13+
442,Robo Rally,Strategy,2 to 6,2.5,45-120 minutes,12+
443,Roll for the Galaxy,Strategy/Pool Building,2 to 5,3,45 minutes,13+
444,Rory's Story Cubes,Dice/Co-op/Storytelling,1 to 12,1,20 minutes,8+
445,RSVP - 3D Crossword Game,Word,2,2,60 minutes,6+
446,Rubik's Race,Strategy/Abstract,2,1,10 minutes,8+
447,Rummikub,Cards/Numbers,2 to 4,2,60 minutes,8+
448,Rummy Royal,Cards,2 to 9,1.5,60 minutes,8+
449,Runebound: 3rd Edition,Thematic,2 to 4,2.5,120-180 minutes,14+
450,Runewars,Thematic/Strategy,2 to 4,3.5,180 minutes,14+
451,Rush n' Crush,Thematic/Family,3 to 6,2,60 minutes,12+
452,Saboteur,Party/Bluffing,3 to 10,1.5,30 minutes,8+
453,Sagrada,Card Drafting,1 to 4,2,30-45 minutes,14+
454,Samurai Spirit,Co-Op/Strategy,1 to 7,2,30 minutes,9+
455,Samurai Swords (a.k.a. Ikusa),Wargame,2 to 5,3,240-360 minutes,12+
456,San Juan,City Building,2 to 4,2.5,45-60 minutes,10+
457,Santorini,Abstract Strategy,2 to 4,2,20 minutes,8+
458,Saturday Night Live: The Game,Party,2 to 8,1,20-30 minutes,12+
459,Say Anything,Party,3 to 8,1,30 minutes,13+
460,Scattergories,Trivia,2 to 6,1.5,30 minutes,12+
461,Schmovie,Party,15-Mar,1,35 minutes,17+
462,Scrabble,Word,2 to 4,2,60 minutes,10+
463,Scrabble Crossword Cubes,Dice/Word,1 to 6,1,10 minutes,10+
464,Scrabble Crossword/Dominoes,Word,2 to 4,1,30 minutes,10+
465,Scrabble Junior,Word,2 to 4,1,30 minutes,7+
466,Scrawl,Party,4 to 8,1.5,20-30 minutes,18+
467,Scythe,Territory Building,1 to 5,3.5,90-115 minutes,14+
468,Scythe: Invaders from Afar (Expansion to Scythe),Expansion,1 to 7,3,90-145 minutes,14+
469,Sea of Clouds,Card Drafting,2 to 4,1.5,45 minutes,10+
470,Seasons,Card Drafting,2 to 4,3,60 minutes,14+
471,Secret Hitler,Social Deduction,5 to 10,1.5,45 minutes,
472,Sentinels of the Multiverse,Co-op/Cards,1 to 5,2.5,30-60 minuts,8+
473,Sequence,Card,2 to 6,1,15-120 minutes,7+
474,Sequence Cats,Card,2 to 6,1,15-120 minutes,7+
475,Settlers of the Stone Age,Route Building,3 to 4,2.5,90 minutes,10+
476,Seventh Hero,Familly/Bluffing/Cards,3 to 5,1.5,20-30 minutes,8+
477,Shadows of Brimstone: Cities of the Ancients,Thematic,1 to 4,3.5,120 minutes,12+
478,Shadows of Brimstone: Swamps of Death,Thematic,1 to 4,3.5,60 minutes,12+
479,Shadows Over Camelot,Thematic,3 to 7,2.5,60 to 80,10+
480,Shadows Over Camelot: The Card Game,Family,1 to 7,2,20 minutes,8+
481,Shakespeare,Card Drafting,1 to 4,3,20-90 minutes,13+
482,Sheriff of Notttingham,Family/Party,3 to 5,1.5,60 minutes,13+
483,Sherlock Homes: Consulting Detective,Thematic/Deduction,1 to 8,3,60-120 minutes,10+
484,Shut the Box,Children/Dice,2 to 4,1,30 minutes,8+
485,Sid Meier's Civilization: Fame and Fortune,Strategy,2 to 5,3.5,180 minutes,14+
486,Sid Meier's Civilization: The Board Game,Strategy,2 to 4,4,120-240 minutes,13+
487,Sidibaba,Partnerships/Voting,3 to 7,2,45 minutes,14+
488,Simon's Cat,Cards/Memory/Humor,3 to 6,1.5,10-25 minutes,6+
489,Six Degrees of Kevin Bacon,Trivia/Party,2 to 4,1,30 minutes,12+
490,Skipbo,Cards,2 to 6,1,20 minutes,7+
491,Skulldug!,Tile Placement,1 to 6,2,45-90 minutes,13+
492,Skulldug!,Tile Placement,1 to 6,2,45-90 minutes,13+
493,Skyjo,Cards,2 to 8,1,15-45 minutes,8+
494,Slamwich,Party/Dexterity,2 to 6,1,10 minutes,6+
495,Smallworld,Family/Strategy,2 to 5,2.5,40-80 minutes,8+
496,Smash Up,Strategy/Card/Family,2 to 4,2,45 minutes,12+
497,Smash Up: Awesome Level 9000,Strategy/Card/Family,2 to 4,2,45 minutes,12+
498,Smash Up: It's Your Fault!,Strategy/Card/Family,2 to 4,2,45 minutes,12+
499,Smash Up: Monster Smash,Strategy/Card/Family,2 to 4,2,45 minutes,12+
500,Smash Up: Munchkin,Strategy/Card/Family,2 to 4,2,45 minutes,12+
501,Smash Up: Obligatory Cthulhu Set,Strategy/Card/Family,2 to 4,2,45 minutes,12+
502,Smash Up: Pretty Pretty Smash Up,Strategy/Card/Family,2 to 4,2,45 minutes,12+
503,Smash Up: Science Fiction Double Feature,Strategy/Card/Family,2 to 4,2,45 minutes,12+
504,Smash Up: The Big Geeky Box,Strategy/Card/Family,2 to 4,2,45 minutes,12+
505,Snafu (Screwball Scramble),Maze,2 to 4,1,30 minutes,4+
506,Snakes and Ladders,Children,2 to 4,1,15 minutes,4+
507,Something Different,Party,3 to 6,1,30 minutes,13+
508,Sons of Anarchy: Men of Mayhem,Thematic/Negotiation,3 to 4,2.5,60 minutes,13+
509,Sorry,Children,2 to 4,1,30 minutes,6+
510,Space Hulk: Death Angel: The Card Game,Thematic/Cards,1 to 6,2.5,30 minutes,13+
511,Spank the Yeti,Party,2 to 10,1,30 minutes,8+
512,Spin Out,Classic,1,1,10 minutes,8+
513,Spinout,Puzzle,1,2,-,8+
514,Spirit Island,Cooperative,1 to 4,4,90-120 minutes,13+
515,Splendor,Card Drafting,2 to 4,2,30 minutes,10+
516,Spontuneous,Party,4 to 10,1,30 minutes,8+
517,Spookre,Cards/Take That,3 to 5,1.5,20-40 minutes,10+
518,Spyfall,Party/Bluffing,3 to 8,1.5,15 minutes,12+
519,Star Realms,Card Drafting,2,2,20 minutes,12+
520,Star Trek Panic,Co-op,1 to 6,2,90-120 minutes,13+
521,Star Trek: Catan,Thematic/Strategy,3 to 4,2.5,75 minutes,10+
522,Star Trek: Five Year Mission,Thematic/Family,3 to 7,2,30-45 minutes,10+
523,Star Wars Armada,Miniatures/War Game,2,3,120 minutes,14+
524,Star Wars Escape from Death Star Game,Dice/Chance,2 to 4,1,20 minutes,7+
525,Star Wars Rebellion,Thematic,2 to 4,3.5,180-240 minutes,14+
526,Star Wars: Imperial Assault,Miniatures/War Game,2 to 5,3.5,60-120 minutes,14+
527,Star Wars: The Card Game,Hand Management,2,3,60 minutes,10+
528,Star Wars: X-Wing Miniatures Game,Bluffing,2 to 4,2.5,30-45 minutes,14+
529,Stay Away!,Bluffing/Deduction,4 to 12,1,15-60 minutes,12+
530,Steam Park,Family/City Building,2 to 4,2,90 minutes,8+
531,Steam Time,Strategy,2 to 4,3,90 minutes,12+
532,Sticky Sticks,Dexterity,2 to 4,1,10 minutes,4+
533,StoryLine Fairy Tales,Children's/Story Building,3 to 8,1,15-40 minutes,8+
534,Stratego,Classic,2,2,45 minutes,8+
535,Stop Thief!,Cooperative,2 to 4,1.5,30-60 minutes,10+
536,Stuffed Fables,Dice Rolling/Co-operative,2 to 4,2.5,60-90 minutes,7+
537,Suburbia,City Building/Card Drafting,1 to 4,3,90 minutes,8+
538,Such a Thing,Party,2 to 8,1.5,30 minutes,10+
539,Superfight,Party,3 to 10,1.5,30 minutes,5+
540,Survive: Escape from Atlantis,Family/Dice Rolling,2 to 4,1.5,60 minutes,8+
541,Survive! Space Attack,Dice Rolling,2 to 4,2,45-60 minutes,8+
542,Sushi Go,Card Drafting,2 to 5,1,15 minutes,8+
543,Sushi Go Party,Party,2 to 8,1.5,20 minutes,8+
544,Sword & Skull,Adventure,2 to 5,1.5,60 minutes,10+
545,Sword of Fellows,Cooperative,1 to 4,1,30 minutes,10+
546,T.I.M.E. Stories,Storytelling,2 to 4,2.5,90 minutes,12+
547,T.I.M.E. Stories: Under the Mask,Expansion,2 to 4,2.5,90 minutes,12+
548,Taboo,Party/Word,4 to 10,1,20 minutes,12+
549,Taco Cat Goat Cheese Pizza,Party,2 to 6,1,20 minutes,5+
550,Tak,Abstract,2,2.5,20-60 minutes,12+
551,Takenoko,Territory Building/Tile Placement,2 to 4,2,45 minutes,8+
552,Talisman: 4th Edition: The City Expansion,Adventure,2 to 6,2,90 minutes,13+
553,Talisman: 4th Edition: The Dragon Expansion,Adventure,2 to 6,2,90 minutes,13+
554,Talisman: 4th Edition: The Frostmarch,Adventure,2 to 6,2,90 minutes,13+
555,Talisman: 4th Edition: The Reaper Expansion,Adventure,2 to 6,2,90 minutes,13+
556,Talisman: Revised 4th Edition,Thematic,2 to 6,2,90 minutes,13+
557,Target Ball,Action/Dexterity,1 to 4,1,10 minutes,5+
558,Tash-Kalar: Arena of Legends,Abstract,2 to 4,3,30-60 minutes,13+
559,Telestrations,Party/Humor,4 to 6,1,30 minutes,12+
560,Telestrations: 12-Player Party Pack,Party,4 to 12,1,30 minutes,8+
561,Telestrations: After Dark,Party,4 to 8,1,20-30 minutes,17+
562,Tem-Purr-A,Social,3 to 7,1,30 minutes,8+
563,Terra Mystica,Strategy,2 to 5,4,60-150 minutes,12+
564,Terraforming Mars,Card Drafting,1 to 5,3.5,90-120 minutes,12+
565,Terrene Odyssey,Deduction,2 to 4,2.5,20 minutes,12+
566,Terror in Meeple City (a.k.a. Rampage),Action/Dexterity,2 to 4,1.5,45 minutes,8+
567,The Battle of Five Armies,Thematic/Wargames,2,3.5,90-240 minutes,13+
568,The Black Rose,Bluffing/Card,3 to 5,2,20 minutes,15+
569,The Blood of an Englishman,Abstract/Strategy,2,2,20-30 minutes,10+
570,The Builders: Antiquity,Family/City Building,2 to 4,2,30 minutes,10+
571,The Cat Drawing Game,Dtawing,3 or more,1,15-30 minutes,16+
572,The Downfall of Pompeii,Tile Placement,2 to 4,2,45 minutes,10+
573,The Game of Life,Family/Chance,2 to 6,1,60 minutes,9+
574,The Great Dinosaur Rush,Set Collection,2 to 5,2,60 minutes,10+
575,The Grizzled,Co-op/Cards,2 to 5,2,30 minutes,10+
576,The Inventor,Roll and Spin,3 to 4,1.5,60 minutes,9+
577,The Joker's Wild Game,Trivia,3,1,30 minutes,10+
578,The Resistance,Bluffing/Party,5 to 10,2,30 minutes,13+
579,The Resistance: Avalon,Card,2,2,45 minutes,12+
580,The Rivals for Catan,Card/Strategy,2,2.5,45 minutes,10+
581,The Simpsons Trivia Game,Trivia,2 to 5,1.5,60 minutes,8+
582,The Simpsons: Homer's Trivia Game,Trivia,2 to 5,1.5,60 minutes,8+
583,The Thing: Infection at Outpost 31,Bluffing/Social Deduction,4 to 8,2.5,60-120 minutes,17+
584,The Three Little Pigs,Childrens,2 to 5,1,20 minutes,7+
585,Those Pesky Humans!,Tile Placement,2 to 4,2,90 minutes,13+
586,Three Cheers for Master,Card/Humor,2 to 6,1.5,20-40 minutes,13+
587,Through the Ages: A Story of Civilization,City Building/Card Drafting,2 to 4,4,240 minutes,12+
588,Thunderstone,Card Drafting,1 to 5,2.5,60 minutes,12+
589,Ti-Ominos,Abstract,2 to 6,1.5,30 minutes,6+
590,Ticket to Ride,Family,2 to 5,2,30-60 minutes,8+
591,Ticket to Ride: Europe,Family,2 to 5,2,30-60 minutes,8+
592,Ticket to Ride: First Journey,Children/Strategy,2 to 4,1.5,15-30 minutes,6+
593,Ticket to Ride: Nordic Countries,Card Drafting,2 to 3,2,30-60 minutes,8+
594,Ticket to Ride: Rails & Sails,Route Building/Set collection,2 to 5,3,60-120 minutes,10+
595,Tide of Iron,Wargames,2 to 4,3.5,120 minutes,12+
596,Tides of Madness,Card Drafting,2,1.5,20 minutes,10+
597,Tides of Time,Card Drafting,2,1,10-15 minutes,10+
598,Till Dawn,Press Your Luck,4 to 8,1.5,30 minutes,8+
599,Time Management: The Time Management Game,Tile Placement,1 to 4,1.5,30 minutes,13+
600,Timeline - Americana,Trivia,2 to 8,1,15-20 minutes,8+
601,Timeline - Discoveries,Trivia,2 to 8,1,15-20 minutes,8+
602,Timeline - Historical Events,Trivia,2 to 8,1,15-20 minutes,8+
603,Timeline - Inventions,Trivia,2 to 8,1,15-20 minutes,8+
604,Timeline - Music and Cinema,Trivia,2 to 8,1,15-20 minutes,8+
605,Tiny Epic Western,Bluffing/Worker Placement,1 to 4,3,30-45 minutes,14+
606,Tip It,Abstract,1 to 4,1,45 minutes,8+
607,Tokaido,Set Collection,2 to 5,2,45 minutes,8+
608,Topple,Dexterity,2 to 4,1,20 minutes,
609,Trains: Rising Sun,Strategy,2 to 4,2.5,45 minutes,12+
610,Traitor Mechanic: The Traitor Mechanic Game,Cards/Bluffing,4 to 10,12,30 minutes,13+
611,Tribond,Party,2 to 15,1.5,60 minutes,12+
612,Trick-Taking: The Trick-Taking Game,Cards,2 to 4,1.5,15-30 minutes,8+
613,Triple Yahtzee,Dice,2 to 4,1,30 minutes,6+
614,Trivial Pursuit 20th Anniversary Edition,Trivia,2 to 24,2,90 minutes,12+
615,Trivial Pursuit Family Edition,Child/Party/Trivia,2 to 8,1,90 minutes,12+
616,Trivial Pursuit Genus Edition,Trivia,2 to 24,2,90 minutes,12+
617,Trouble,Children,2 to 4,1,45 minutes,4+
618,Tsuro,Family/Abstract,2 to 8,1.5,15 minutes,8+
619,Twilight Imperium,Strategy,3 to 6,5,240 minutes,14+
620,Twilight Struggle,Wargames/Strategy,2,3.5,180 minutes,13+
621,Twixt,Strategy,2 or 4,2,30 minutes,12+
622,UNO,Classic/Cards,2 to 10,1,30 minutes,6+
623,UNO Rummy-Up,Abstract,2 to 4,1.5,60 minutes,7+
624,Uno Stacko,Social,2 to 10,1,20 minutes,8+
625,Uno Wild Tiles,Strategy,2 to 4,1,10 minutes,8+
626,UpWords,Word,2 to 4,2,90 minutes,10+
627,Viceroy,Card Drafting,1 to 4,2.5,45-60 minutes,12+
628,Virulence,Bluffing/Deduction,2 to 5,1.5,10-20 minutes,8+
629,Viticulture,Strategy,2 to 6,3,90 minutes,13+
630,VivaJava: The Coffee Game,Bluffing Negotiation,3 to 8,2.5,90 minutes,13+
631,War of the Ring: 2nd Edition,Thematic/Wargames,2 to 4,4,150 minutes,13+
632,Warhammer Quest: The Adventure Card Game,Co-op / Role Playing,1 to 4,2.5,30-60 minutes,14+
633,Wasteland Express,Dice Rolling,2 to 5,3,90-120 minutes,13+
634,What Do You Meme?,Party,3 to 6,1,90 minutes,18+
635,Wildlife Adventure,Route Building,2 to 6,1,60 minutes,10+
636,Wildlife Safari,Hand Management,2 to 5,1.5,20-30 minutes,7+
637,Wits & Wagers,Trivia,3 to 7,1,25 minutes,10+
638,Wombat Rescue,Grid Movement/Humor,1 to 4,2,60 minutes,10+
639,Wordsy,Word Game,1 to 6,1,20 minutes,8+
640,World of Warcraft: The Adventure Game,Thematic,2 to 4,2.5,90 minutes,12+
641,World's Fair 1893,Area Control/Set Collection,2 to 4,2,35-45 minutes,10+
642,XenoShyft: Onslaught,Thematic/Strategy,1 to 4,2.5,30-60 minutes,13+
643,Yahtzee,Chance,2 to 10,2,30 minutes,6+
644,You Gotta Be Kitten Me!,Bluffing,2 to 10,1.5,30 minutes,10+
645,You've Got Crabs + Claw Expansion,Party,4 to 10,1.5,15-20 minutes,7+
646,Ys,Strategy/Bluffing,3 to 4,3,60-90 minutes,12+
647,Zany Penguins,Hand Management,2 to 5,1.5,20 minutes,7+
648,Zombicide,Thematic/Horror,1 to 6,2.5,45-180 minutes,13+
649,Zombicide Season 2: Prison Outbreak,Thematic/Horror,1 to 6,2.5,90-180 minutes,13+
650,Zombicide: Angry Neighbors,Thematic/Horror,1 to 6,2.5,45-180 minutes,13+
651,Zombicide: The Black Plague,Thematic/Horror,1 to 6,2.5,60-180 minutes,10+
652,Zombicide: Toxic City Mall Expasion,Thematic/Horror,1 to 6,2.5,45-180 minutes,13+
653,Zooloretto,Tile Placement,2 to 5,2,45 minutes,8+
654,Zooreka,Children's/Story Building,2 to 4,1,40 minutes,8+
