game.id,details.name,details.yearpublished,game.type,attributes.boardgamecategory,price.prices,details.maxplayers,details.minplayers,details.maxplaytime,details.playingtime,details.minplaytime,details.minage
69,Bollox,1999,boardgame,Abstract Strategy,,2,2,20,20,20,10
70,Big City,1999,boardgame,City Building,50,5,2,60,60,60,10
71,Civilization,1980,boardgame,"Ancient,Civilization,Economic,Negotiation","99.99, 25",7,2,360,360,360,12
72,Verräter,1998,boardgame,"Card Game,Political","9, 7",4,3,60,60,60,12
73,Show Manager,1996,boardgame,Card Game,"49.95, 33.41, 48, 20",6,2,60,60,60,10
74,Apples to Apples,1999,boardgame,"Card Game,Humor,Party Game","19.99, 14.88, 5, 8",10,4,30,30,30,12
75,Falling,1998,boardgame,"Card Game,Fantasy,Print & Play,Real-time","5, 10",8,4,5,5,5,8
76,Air Baron,1996,boardgame,"Aviation / Flight,Economic,Territory Building","139.99, 17, 21",6,2,120,120,120,10
77,EastFront,1991,boardgame,"Wargame,World War II","117.50, 94.99, 50, 40",2,2,240,240,240,12
78,WestFront,1992,boardgame,"Wargame,World War II","34, 20",2,2,240,240,240,12
79,MedFront,1994,boardgameexpansion,"Wargame,World War II",30,2,2,180,180,180,12
80,VolgaFront,1994,boardgameexpansion,"Expansion for Base-game,Wargame,World War II",25,2,2,240,240,240,12
81,EuroFront,1995,boardgameexpansion,"Expansion for Base-game,Wargame,World War II","33, 30",6,2,600,600,600,12
82,Bobby Lee,1993,boardgame,"American Civil War,Wargame",25,2,2,240,240,240,12
83,Sam Grant,1997,boardgame,"American Civil War,Wargame",60,2,2,180,180,180,12
84,Rommel in the Desert,1982,boardgame,"Wargame,World War II","67.99, 33",2,2,150,150,150,12
85,Quebec 1759,1972,boardgame,"Age of Reason,Wargame",32,2,2,60,60,60,12
87,Victory:  The Blocks of War,1998,boardgame,"Wargame,World War II","72.79, 200, 199",6,2,180,180,180,12
88,Torres,1999,boardgame,"Abstract Strategy,Medieval","44.99, 79.95, 20",4,2,60,60,60,12
89,Blue vs. Gray,1999,boardgame,"American Civil War,Card Game,Dice,Wargame",,4,2,120,120,120,12
90,Star Wars: Episode 1 – Clash of the Lightsabers,1999,boardgame,"Card Game,Movies / TV / Radio theme,Science Fiction","6, 8, 10",2,2,20,20,20,8
91,Paths of Glory,1999,boardgame,"Wargame,World War I","60.00, 169.99, 30, 30, 47",2,2,480,480,480,14
93,El Grande,1995,boardgame,Renaissance,"99.99, 78.95",5,2,120,120,60,12
94,Union Pacific,1999,boardgame,"Economic,Trains",165.00,6,2,90,90,90,12
95,Igel Ärgern,1990,boardgame,"Animals,Children's Game,Dice,Racing",36,6,2,30,30,30,8
96,Broadsides and Boarding Parties,1982,boardgame,"Nautical,Pirates,Wargame","125, 125, 100",2,2,60,60,60,10
97,Conquest of the Empire,1984,boardgame,"Ancient,Economic,Wargame","60, 80",6,2,180,180,180,10
98,Axis & Allies,1981,boardgame,"Economic,Wargame,World War II",286.33,5,2,180,180,180,12
99,Fortress America,1986,boardgame,"Science Fiction,Wargame",299.99,4,2,180,180,180,12
101,Detroit-Cleveland Grand Prix,1996,boardgame,"Card Game,Racing","10, 10, 8",6,2,60,60,60,8
102,Klunker,1999,boardgame,Card Game,,5,3,30,30,30,10
103,Titan,1980,boardgame,"Fantasy,Fighting",289.95,6,2,240,240,30,12
104,Extrablatt,1991,boardgame,Territory Building,,4,3,90,90,90,14
105,Colossal Arena,1997,boardgame,"Card Game,Fantasy,Mythology",26.48,5,2,60,60,60,8
106,Mystery Rummy: Jack the Ripper,1998,boardgame,"Card Game,Murder/Mystery","14.99, 18.98, 7, 12",4,2,45,45,45,10
107,Peaceful Resistance,1995,boardgame,Abstract Strategy,,3,2,30,30,30,0
108,TAMSK,1998,boardgame,"Abstract Strategy,Real-time",,2,2,20,20,20,8
109,Wettstreit der Baumeister,1994,boardgame,City Building,12,4,3,45,45,45,10
110,Auf Achse,1987,boardgame,"Economic,Transportation","48.90, 30",6,2,60,60,60,8
111,Rheinländer,1999,boardgame,"Abstract Strategy,Medieval,Territory Building","49.99, 79.99, 18",5,3,90,90,45,12
112,Condottiere,1995,boardgame,"Bluffing,Card Game,Medieval,Negotiation","18.99, 18",6,2,45,45,45,14
113,Mit List und Tücke,1999,boardgame,Card Game,,6,4,60,60,60,10
114,Ransom,1994,boardgame,"Abstract Strategy,Bluffing,City Building,Economic,Negotiation",,6,2,45,45,45,12
115,I'm the Boss!,1994,boardgame,Negotiation,"49.99, 49.99, 26, 25, 25",6,3,60,60,60,12
116,Guillotine,1998,boardgame,"Card Game,Humor","14.99, 9.00, 6, 15",5,2,30,30,30,12
117,Ta Yü,1999,boardgame,Abstract Strategy,90,4,2,45,45,30,10
118,Modern Art,1992,boardgame,"Card Game,Economic","29.99, 50, 79, 25",5,3,45,45,45,10
119,Kingdoms,1994,boardgame,"Abstract Strategy,Fantasy,Medieval","67.01, 10",4,2,45,45,45,9
120,Hoity Toity,1990,boardgame,Bluffing,20,6,2,45,45,45,12
